starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 02 14:08:21 2015	1425301701	128	130	259	130
Mon Mar 02 14:08:21 2015	1425301701	134	129	263	127
Mon Mar 02 14:08:21 2015	1425301701	143	143	287	143
Mon Mar 02 14:08:21 2015	1425301701	169	136	306	136
Mon Mar 02 14:08:21 2015	1425301701	169	143	312	143
Mon Mar 02 14:08:21 2015	1425301701	179	259	438	250
Mon Mar 02 14:08:21 2015	1425301701	141	302	442	142
Mon Mar 02 14:08:21 2015	1425301701	181	270	450	268
Mon Mar 02 14:08:21 2015	1425301701	182	400	582	395
Mon Mar 02 14:08:21 2015	1425301701	182	436	618	421
Mon Mar 02 14:08:21 2015	1425301701	176	447	623	446
Mon Mar 02 14:08:21 2015	1425301701	182	544	726	543
Mon Mar 02 14:08:21 2015	1425301701	157	583	740	582
Mon Mar 02 14:08:21 2015	1425301701	182	569	751	566
